"date_id","Symbol","A000070","A003200","A016800","A005720","A015350","A033660","A007160","A000320","A004700","A014280","A003070","A000860","A005810","A000430","A092230","A002620","A007700","A013520","A002390","A004970","A025000","A035510","A067830","A000540","A006220","A015360","A004250","A001940","A021820","A136490"
418,"2016-09-08","122,500","124,000","33,700","8,260","35,200","7,030","62,200","17,950","39,950","10,120","15,000","38,150","45,000","5,300","65,700","63,287","13,800","3,630","27,550","14,750","61,500","76,400","5,550","3,380","8,096","38,100","6,450","13,569","18,950","12,354"
419,"2016-09-09","123,000","124,500","33,300","8,300","34,600","7,020","61,600","17,800","39,700","9,960","14,600","38,150","45,400","5,340","65,500","57,471","13,550","3,585","27,500","14,500","62,000","75,000","5,740","3,390","7,987","37,900","6,440","13,308","18,600","12,491"
420,"2016-09-12","122,500","125,000","33,200","8,230","34,550","7,010","61,800","17,600","38,500","9,620","14,400","37,800","44,400","5,330","66,000","58,371","13,500","3,520","28,250","14,450","62,000","73,100","5,400","3,380","8,027","37,550","6,430","13,148","18,750","12,423"
421,"2016-09-13","123,500","123,000","32,700","8,200","34,350","7,100","62,000","17,700","38,200","9,360","14,050","38,050","44,600","5,370","66,500","60,517","13,450","3,535","28,350","14,450","62,300","72,500","5,400","3,375","8,087","37,600","6,420","13,208","18,550","12,720"
422,"2016-09-19","126,500","122,500","32,800","8,250","34,900","7,100","62,600","17,900","38,300","9,470","14,000","37,900","44,150","5,330","66,000","65,503","13,500","3,450","27,900","14,600","62,500","72,400","5,640","3,415","8,037","37,600","6,450","13,007","18,700","12,514"
423,"2016-09-20","126,000","121,500","32,750","8,150","35,200","7,140","63,900","17,900","38,200","9,800","14,200","38,000","46,300","5,380","65,500","65,434","13,500","3,455","28,700","14,650","62,700","72,500","5,640","3,400","7,958","38,400","6,320","12,987","19,000","12,537"
424,"2016-09-21","127,500","121,000","32,600","8,260","35,000","7,080","63,700","17,500","39,350","10,160","14,200","37,450","45,950","5,440","65,900","65,711","14,000","3,450","28,550","14,700","60,900","73,300","5,580","3,400","7,829","37,950","6,440","12,887","19,200","12,491"
425,"2016-09-22","129,000","126,000","32,500","8,160","34,250","7,080","64,100","17,500","39,600","10,120","14,400","37,550","45,750","5,590","66,000","65,641","14,500","3,580","29,600","14,750","62,800","72,300","5,490","3,375","7,958","37,900","6,400","12,827","19,250","12,560"
426,"2016-09-23","131,500","124,000","32,600","8,200","34,500","7,250","64,200","17,600","40,350","9,960","14,400","37,550","46,050","5,510","65,100","68,965","15,000","3,555","30,500","14,850","62,800","73,900","5,580","3,375","8,146","37,900","6,450","12,707","19,050","12,788"
427,"2016-09-26","132,500","124,000","32,700","8,240","34,200","7,250","64,500","17,400","39,750","9,910","14,400","37,950","45,950","5,600","65,800","70,281","15,000","3,600","30,200","14,750","61,200","72,400","5,540","3,380","7,968","38,100","6,360","12,667","19,050","12,788"
428,"2016-09-27","133,500","124,000","32,700","8,280","34,300","7,280","63,700","17,350","40,000","9,980","14,500","37,800","46,000","5,590","65,900","70,281","15,150","3,610","30,000","14,900","61,400","72,700","5,750","3,400","7,918","37,850","6,350","12,987","19,300","13,016"
